run,arm,rec,seed,test_mrr_all,n_all,mrr_interactions,n_interactions,mrr_cue_events,mrr_novel,n_novel,mrr_recurring,n_recurring,mrr_cue_known,mrr_cue_unknown,oracle_permitted,oracle_latent,chance,oracle_permitted_novel,oracle_permitted_recurring
synth_gen_s2_coreoff_recoff_rel_s43,core-off,off,43,0.29165746554224187,6000,0.268751255293193,5810,0.9921052631578947,0.07339598993353533,652,0.2934452516124052,5158,0.268751255293193,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_coreoff_recoff_rel_s44,core-off,off,44,0.28255650185383857,6000,0.26093040925812355,5810,0.9438596491228071,0.07372657380765257,652,0.2845940193228206,5158,0.26093040925812355,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_coreoff_recoff_rel_s45,core-off,off,45,0.29722212893779626,6000,0.2746986988456875,5810,0.9859649122807016,0.09332739855722078,652,0.2976250438995999,5158,0.2746986988456875,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_coreoff_recoff_rel_s46,core-off,off,46,0.292381012301605,6000,0.26949846365053876,5810,0.9921052631578947,0.07714341463739398,652,0.29381321587166526,5158,0.26949846365053876,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_coreoff_recoff_rel_s47,core-off,off,47,0.28944002431035193,6000,0.26688410802086787,5810,0.9791762013729977,0.08352545851042409,652,0.29006166511292086,5158,0.26688410802086787,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_curonly_recoff_rel_s43,current-only-maps,off,43,0.28566708661967405,6000,0.263764059618711,5810,0.9554385964912281,0.08619793679721267,652,0.2862094089943638,5158,0.263764059618711,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_curonly_recoff_rel_s44,current-only-maps,off,44,0.2811191649967486,6000,0.2599997114137393,5810,0.9269298245614036,0.08745980225182202,652,0.2818097193186579,5158,0.2599997114137393,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_curonly_recoff_rel_s45,current-only-maps,off,45,0.28851945963475206,6000,0.2661990977295202,5810,0.9710526315789474,0.09796956979752885,652,0.28746424937970605,5158,0.2661990977295202,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_curonly_recoff_rel_s46,current-only-maps,off,46,0.29392118416037194,6000,0.2739002475551746,5810,0.9061403508771929,0.09032445305302562,652,0.29710525298662116,5158,0.2739002475551746,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
synth_gen_s2_curonly_recoff_rel_s47,current-only-maps,off,47,0.3064222934220574,6000,0.2849742559722911,5810,0.9622807017543861,0.10264724872603284,652,0.30802140772191505,5158,0.2849742559722911,,0.5312532027517639,0.5903251714087494,0.05882352941176471,0.28240564882250857,0.5627089230235504
